"Current-Dollar and ""Real"" Gross Domestic Product",,,,,,,07/29/16
,,,,,,,
Annual,,,,Quarterly,,,
,,,,  (Seasonally adjusted annual rates),,,
1973,"1,428.50","5,424.10",,1958q1,468.4,"2,772.70",
1974,"1,548.80","5,396.00",,1958q2,472.8,"2,790.90",
1975,"1,688.90","5,385.40",,1958q3,486.7,"2,855.50",
1976,"1,877.60","5,675.40",,1958q4,500.4,"2,922.30",
1977,"2,086.00","5,937.00",,1959q1,511.1,"2,976.60",
1978,"2,356.60","6,267.20",,1959q2,524.2,"3,049.00",
1979,"2,632.10","6,466.20",,1959q3,525.2,"3,043.10",
1980,"2,862.50","6,450.40",,1959q4,529.3,"3,055.10",
1981,"3,211.00","6,617.70",,1960q1,543.3,"3,123.20",
1982,"3,345.00","6,491.30",,1960q2,542.7,"3,111.30",
1983,"3,638.10","6,792.00",,1960q3,546,"3,119.10",
1984,"4,040.70","7,285.00",,1960q4,541.1,"3,081.30",
1985,"4,346.70","7,593.80",,1961q1,545.9,"3,102.30",
1986,"4,590.20","7,860.50",,1961q2,557.4,"3,159.90",
1987,"4,870.20","8,132.60",,1961q3,568.2,"3,212.60",
1988,"5,252.60","8,474.50",,1961q4,581.6,"3,277.70",
1989,"5,657.70","8,786.40",,1962q1,595.2,"3,336.80",
1990,"5,979.60","8,955.00",,1962q2,602.6,"3,372.70",
1991,"6,174.00","8,948.40",,1962q3,609.6,"3,404.80",
1992,"6,539.30","9,266.60",,1962q4,613.1,"3,418.00",
1993,"6,878.70","9,521.00",,1963q1,622.7,"3,456.10",
1994,"7,308.80","9,905.40",,1963q2,631.8,"3,501.10",
1995,"7,664.10","10,174.80",,1963q3,645,"3,569.50",
1996,"8,100.20","10,561.00",,1963q4,654.8,"3,595.00",
1997,"8,608.50","11,034.90",,1964q1,671.1,"3,672.70",
1998,"9,089.20","11,525.90",,1964q2,680.8,"3,716.40",
1999,"9,660.60","12,065.90",,1964q3,692.8,"3,766.90",
2000,"10,284.80","12,559.70",,1964q4,698.4,"3,780.20",
2001,"10,621.80","12,682.20",,1965q1,719.2,"3,873.50",
2002,"10,977.50","12,908.80",,1965q2,732.4,"3,926.40",
2003,"11,510.70","13,271.10",,1965q3,750.2,"4,006.20",
2004,"12,274.90","13,773.50",,1965q4,773.1,"4,100.60",
2005,"13,093.70","14,234.20",,1966q1,797.3,"4,201.90",
2006,"13,855.90","14,613.80",,1966q2,807.2,"4,219.10",
2007,"14,477.60","14,873.70",,1966q3,820.8,"4,249.20",
2008,"14,718.60","14,830.40",,1966q4,834.9,"4,285.60",
2009,"14,418.70","14,418.70",,1967q1,846,"4,324.90",
2010,"14,964.40","14,783.80",,1967q2,851.1,"4,328.70",
2011,"15,517.90","15,020.60",,1967q3,866.6,"4,366.10",
2012,"16,155.30","15,354.60",,1967q4,883.2,"4,401.20",
2013,"16,691.50","15,612.20",,1968q1,911.1,"4,490.60",
2014,"17,393.10","15,982.30",,1968q2,936.3,"4,566.40",
2015,"18,036.60","16,397.20",,1968q3,952.3,"4,599.30",
,,,,1968q4,970.1,"4,619.80",
,,,,1969q1,995.4,"4,691.60",
,,,,1969q2,"1,011.40","4,706.70",
,,,,1969q3,"1,032.00","4,736.10",
,,,,1969q4,"1,040.70","4,715.50",
,,,,1970q1,"1,053.50","4,707.10",
,,,,1970q2,"1,070.10","4,715.40",
,,,,1970q3,"1,088.50","4,757.20",
,,,,1970q4,"1,091.50","4,708.30",
,,,,1971q1,"1,137.80","4,834.30",
,,,,1971q2,"1,159.40","4,861.90",
,,,,1971q3,"1,180.30","4,900.00",
,,,,1971q4,"1,193.60","4,914.30",
,,,,1972q1,"1,233.80","5,002.40",
,,,,1972q2,"1,270.10","5,118.30",
,,,,1972q3,"1,293.80","5,165.40",
,,,,1972q4,"1,332.00","5,251.20",
,,,,1973q1,"1,380.70","5,380.50",
,,,,1973q2,"1,417.60","5,441.50",
,,,,1973q3,"1,436.80","5,411.90",
,,,,1973q4,"1,479.10","5,462.40",
,,,,1974q1,"1,494.70","5,417.00",
,,,,1974q2,"1,534.20","5,431.30",
,,,,1974q3,"1,563.40","5,378.70",
,,,,1974q4,"1,603.00","5,357.20",
,,,,1975q1,"1,619.60","5,292.40",
,,,,1975q2,"1,656.40","5,333.20",
,,,,1975q3,"1,713.80","5,421.40",
,,,,1975q4,"1,765.90","5,494.40",
,,,,1976q1,"1,824.50","5,618.50",
,,,,1976q2,"1,856.90","5,661.00",
,,,,1976q3,"1,890.50","5,689.80",
,,,,1976q4,"1,938.40","5,732.50",
,,,,1977q1,"1,992.50","5,799.20",
,,,,1977q2,"2,060.20","5,913.00",
,,,,1977q3,"2,122.40","6,017.60",
,,,,1977q4,"2,168.70","6,018.20",
,,,,1978q1,"2,208.70","6,039.20",
,,,,1978q2,"2,336.60","6,274.00",
,,,,1978q3,"2,398.90","6,335.30",
,,,,1978q4,"2,482.20","6,420.30",
,,,,1979q1,"2,531.60","6,433.00",
,,,,1979q2,"2,595.90","6,440.80",
,,,,1979q3,"2,670.40","6,487.10",
,,,,1979q4,"2,730.70","6,503.90",
,,,,1980q1,"2,796.50","6,524.90",
,,,,1980q2,"2,799.90","6,392.60",
,,,,1980q3,"2,860.00","6,382.90",
,,,,1980q4,"2,993.50","6,501.20",
,,,,1981q1,"3,131.80","6,635.70",
,,,,1981q2,"3,167.30","6,587.30",
,,,,1981q3,"3,261.20","6,662.90",
,,,,1981q4,"3,283.50","6,585.10",
,,,,1982q1,"3,273.80","6,475.00",
,,,,1982q2,"3,331.30","6,510.20",
,,,,1982q3,"3,367.10","6,486.80",
,,,,1982q4,"3,407.80","6,493.10",
,,,,1983q1,"3,480.30","6,578.20",
,,,,1983q2,"3,583.80","6,728.30",
,,,,1983q3,"3,692.30","6,860.00",
,,,,1983q4,"3,796.10","7,001.50",
,,,,1984q1,"3,912.80","7,140.60",
,,,,1984q2,"4,015.00","7,266.00",
,,,,1984q3,"4,087.40","7,337.50",
,,,,1984q4,"4,147.60","7,396.00",
,,,,1985q1,"4,237.00","7,469.50",
,,,,1985q2,"4,302.30","7,537.90",
,,,,1985q3,"4,394.60","7,655.20",
,,,,1985q4,"4,453.10","7,712.60",
,,,,1986q1,"4,516.30","7,784.10",
,,,,1986q2,"4,555.20","7,819.80",
,,,,1986q3,"4,619.60","7,898.60",
,,,,1986q4,"4,669.40","7,939.50",
,,,,1987q1,"4,736.20","7,995.00",
,,,,1987q2,"4,821.50","8,084.70",
,,,,1987q3,"4,900.50","8,158.00",
,,,,1987q4,"5,022.70","8,292.70",
,,,,1988q1,"5,090.60","8,339.30",
,,,,1988q2,"5,207.70","8,449.50",
,,,,1988q3,"5,299.50","8,498.30",
,,,,1988q4,"5,412.70","8,610.90",
,,,,1989q1,"5,527.40","8,697.70",
,,,,1989q2,"5,628.40","8,766.10",
,,,,1989q3,"5,711.60","8,831.50",
,,,,1989q4,"5,763.40","8,850.20",
,,,,1990q1,"5,890.80","8,947.10",
,,,,1990q2,"5,974.70","8,981.70",
,,,,1990q3,"6,029.50","8,983.90",
,,,,1990q4,"6,023.30","8,907.40",
,,,,1991q1,"6,054.90","8,865.60",
,,,,1991q2,"6,143.60","8,934.40",
,,,,1991q3,"6,218.40","8,977.30",
,,,,1991q4,"6,279.30","9,016.40",
,,,,1992q1,"6,380.80","9,123.00",
,,,,1992q2,"6,492.30","9,223.50",
,,,,1992q3,"6,586.50","9,313.20",
,,,,1992q4,"6,697.60","9,406.50",
,,,,1993q1,"6,748.20","9,424.10",
,,,,1993q2,"6,829.60","9,480.10",
,,,,1993q3,"6,904.20","9,526.30",
,,,,1993q4,"7,032.80","9,653.50",
,,,,1994q1,"7,136.30","9,748.20",
,,,,1994q2,"7,269.80","9,881.40",
,,,,1994q3,"7,352.30","9,939.70",
,,,,1994q4,"7,476.70","10,052.50",
,,,,1995q1,"7,545.30","10,086.90",
,,,,1995q2,"7,604.90","10,122.10",
,,,,1995q3,"7,706.50","10,208.80",
,,,,1995q4,"7,799.50","10,281.20",
,,,,1996q1,"7,893.10","10,348.70",
,,,,1996q2,"8,061.50","10,529.40",
,,,,1996q3,"8,159.00","10,626.80",
,,,,1996q4,"8,287.10","10,739.10",
,,,,1997q1,"8,402.10","10,820.90",
,,,,1997q2,"8,551.90","10,984.20",
,,,,1997q3,"8,691.80","11,124.00",
,,,,1997q4,"8,788.30","11,210.30",
,,,,1998q1,"8,889.70","11,321.20",
,,,,1998q2,"8,994.70","11,431.00",
,,,,1998q3,"9,146.50","11,580.60",
,,,,1998q4,"9,325.70","11,770.70",
,,,,1999q1,"9,447.10","11,864.70",
,,,,1999q2,"9,557.00","11,962.50",
,,,,1999q3,"9,712.30","12,113.10",
,,,,1999q4,"9,926.10","12,323.30",
,,,,2000q1,"10,031.00","12,359.10",
,,,,2000q2,"10,278.30","12,592.50",
,,,,2000q3,"10,357.40","12,607.70",
,,,,2000q4,"10,472.30","12,679.30",
,,,,2001q1,"10,508.10","12,643.30",
,,,,2001q2,"10,638.40","12,710.30",
,,,,2001q3,"10,639.50","12,670.10",
,,,,2001q4,"10,701.30","12,705.30",
,,,,2002q1,"10,834.40","12,822.30",
,,,,2002q2,"10,934.80","12,893.00",
,,,,2002q3,"11,037.10","12,955.80",
,,,,2002q4,"11,103.80","12,964.00",
,,,,2003q1,"11,230.10","13,031.20",
,,,,2003q2,"11,370.70","13,152.10",
,,,,2003q3,"11,625.10","13,372.40",
,,,,2003q4,"11,816.80","13,528.70",
,,,,2004q1,"11,988.40","13,606.50",
,,,,2004q2,"12,181.40","13,706.20",
,,,,2004q3,"12,367.70","13,830.80",
,,,,2004q4,"12,562.20","13,950.40",
,,,,2005q1,"12,813.70","14,099.10",
,,,,2005q2,"12,974.10","14,172.70",
,,,,2005q3,"13,205.40","14,291.80",
,,,,2005q4,"13,381.60","14,373.40",
,,,,2006q1,"13,648.90","14,546.10",
,,,,2006q2,"13,799.80","14,589.60",
,,,,2006q3,"13,908.50","14,602.60",
,,,,2006q4,"14,066.40","14,716.90",
,,,,2007q1,"14,233.20","14,726.00",
,,,,2007q2,"14,422.30","14,838.70",
,,,,2007q3,"14,569.70","14,938.50",
,,,,2007q4,"14,685.30","14,991.80",
,,,,2008q1,"14,668.40","14,889.50",
,,,,2008q2,"14,813.00","14,963.40",
,,,,2008q3,"14,843.00","14,891.60",
,,,,2008q4,"14,549.90","14,577.00",
,,,,2009q1,"14,383.90","14,375.00",
,,,,2009q2,"14,340.40","14,355.60",
,,,,2009q3,"14,384.10","14,402.50",
,,,,2009q4,"14,566.50","14,541.90",
,,,,2010q1,"14,681.10","14,604.80",
,,,,2010q2,"14,888.60","14,745.90",
,,,,2010q3,"15,057.70","14,845.50",
,,,,2010q4,"15,230.20","14,939.00",
,,,,2011q1,"15,238.40","14,881.30",
,,,,2011q2,"15,460.90","14,989.60",
,,,,2011q3,"15,587.10","15,021.10",
,,,,2011q4,"15,785.30","15,190.30",
,,,,2012q1,"15,973.90","15,291.00",
,,,,2012q2,"16,121.90","15,362.40",
,,,,2012q3,"16,227.90","15,380.80",
,,,,2012q4,"16,297.30","15,384.30",
,,,,2013q1,"16,475.40","15,491.90",
,,,,2013q2,"16,541.40","15,521.60",
,,,,2013q3,"16,749.30","15,641.30",
,,,,2013q4,"16,999.90","15,793.90",
,,,,2014q1,"17,025.20","15,747.00",
,,,,2014q2,"17,285.60","15,900.80",
,,,,2014q3,"17,569.40","16,094.50",
,,,,2014q4,"17,692.20","16,186.70",
,,,,2015q1,"17,783.60","16,269.00",
,,,,2015q2,"17,998.30","16,374.20",
,,,,2015q3,"18,141.90","16,454.90",
,,,,2015q4,"18,222.80","16,490.70",
,,,,2016q1,"18,281.60","16,525.00",
,,,,2016q2,"18,437.60","16,575.10",
